Name,Edifici,Tipus aula,Assignatures,Masters,Software (from Perfil tècnic) (from Assignatures),Característiques
Cabina d'Audio,Edifici Llacuna,Taller,,,,
G.0.1,Edifici Granada,,,,,
G.0.2,Edifici Granada,,,,,
"G.0.3 Taller d'Escultura, ceramica, metall",Edifici Granada,Taller,,,,
G.0.4,Edifici Granada,,,,,
G.0.5,Edifici Granada,,,,,
G.1.1,Edifici Granada,Polivalent,,,,
G.1.2,Edifici Granada,,,,,
G.1.3,Edifici Granada,,,,,
G.2.1,Edifici Granada,,"Eines Informàtiques I,Eines Informàtiques II",,,
G.E.1,Edifici Granada,,,,,
G.E.2,Edifici Granada,,,,,
G.E.3,Edifici Granada,,,,,
L.0.1,Edifici Llacuna,,"Taller de Dibuix Artístic,Fonaments del Disseny I",,,
L.0.2,Edifici Llacuna,,,,,
L.0.3 Plató,Edifici Llacuna,Taller,,,,
L.0.4,Edifici Llacuna,,,,,
L.1.1,Edifici Llacuna,,"Fonaments del Disseny I,Fonaments del Disseny II",,,
L.1.2,Edifici Llacuna,Projectes,"Fonaments del Disseny I,Fonaments del Disseny II",,,
L.1.3,Edifici Llacuna,Projectes,,,,
P.0.1,Edifici Pujades,Teòrica,,,,
P.0.2/0.4,Edifici Pujades,Projectes,Fonaments del Disseny I,,,
P.0.3,Edifici Pujades,Teòrica,,,,
P.0.5/0.7,Edifici Pujades,Projectes,,,,
P.0.6,Edifici Pujades,,,,,
P.0.8,Edifici Pujades,,Fonaments del Disseny I,,,
P.0.9,Edifici Pujades,,,,,
P.0.10,Edifici Pujades,,,,,
P.0.12,Edifici Pujades,,,,,
P.0.14,Edifici Pujades,,,,,
P.1.2,Edifici Pujades,Informàtica,"Eines Informàtiques I,Eines Informàtiques II,Tipografia en Moviment,Llenguatges Audiovisuals I,Llenguatges Audiovisuals II,Expressió Gràfica I - AV,Expressió Gràfica II - AV,Taller d'Audiovisual II",,,
P.1.3,Edifici Pujades,Informàtica,"Eines Informàtiques I,Eines Informàtiques II,Anàlisi i Teoria dels Teixits",,,
P.1.4,Edifici Pujades,Informàtica,"Introducció al Disseny Web,Programació per Dissenyadors",,,
P.1.5,Edifici Pujades,Projectes,"Fonaments del Disseny I,Fonaments del Disseny II",,,
P.1.6,Edifici Pujades,Informàtica,"Introducció al Disseny Web,Programació per Dissenyadors,Tipografia II,Infografia I,Infografia II",,,
P.1.7,Edifici Pujades,Projectes,"Fonaments del Disseny I,Fonaments del Disseny II",,,
P.1.7,Edifici Pujades,Projectes,,,,
P.1.8,Edifici Pujades,Informàtica,"Eines Informàtiques I,Eines Informàtiques II,Creació i Autoria Digital I,Taller d'Audiovisual II,Creació i Autoria Digital II",,,
P.1.9,Edifici Pujades,Teòrica,Antropologia Sociocultural,,,
P.1.10,Edifici Pujades,,,,,
P.1.12,Edifici Pujades,Informàtica,"Eines Informàtiques I,Eines Informàtiques II,Creació i Autoria Digital III,Animació Digital III,Tipografia en Moviment,Tècniques Infogràfiques I,Tècniques Infogràfiques II,Expressió Gràfica II - AV,Creació i Autoria Digital II,Taller d'Audiovisual I,Creació i Autoria Digital I",,,
P.1.14,Edifici Pujades,Teòrica,,,,
P.1.16,Edifici Pujades,Teòrica,,,,
P.2.1,Edifici Pujades,,,,,
P.2.2,Edifici Pujades,,,,,
P.2.3,Edifici Pujades,,,,,
P.2.4,Edifici Pujades,,,,,
Platós,Edifici Llacuna,Taller,,,,
Portatils (1),Edifici Pujades,Informàtica,"Patronatge III,Expressió Gràfica I - Moda,Expressió Gràfica II - Moda,Taller de Moda I,Taller de Moda II,Patronatge I,Patronatge II,Anàlisi i Teoria dels Teixits",,,
Portatils (2),Edifici Pujades,Informàtica,Patronatge IV,,,
Sala Badajoz,Edifici Pujades,Polivalent,Taller d'Expressió i Comunicació,,,
Sala Carolines,Edifici Llacuna,Polivalent,,,,
T.2,Edifici Pujades,Taller,,,,
T.2 Audiovisual Lab,Edifici Llacuna,Taller,,,,
T.3 StopMotion,Edifici Llacuna,Taller,,,,
T.3 Taller de moda,Edifici Pujades,Taller,,,,
T.4 StopMotion,Edifici Llacuna,Taller,,,,
T.4 Taller de moda,Edifici Pujades,Taller,,,,
T.5 Tricotoses,Edifici Pujades,Taller,,,,
Taller de Producció Gràfica,Edifici Pujades,Taller,,,,
Taller de Serigrafia,Edifici Llacuna,Taller,,,,
