Name,Tipus,Sistema operatiu,Perfil tècnic,Assignatures (from Perfil tècnic),Master Perfil tècnic,Graus Disseny Perfil tècnic copy
Teams,Privatiu,"OsX,Windows","7,11,15,16,17,30,31,32,40,47","Taller de Dibuix Artístic,Taller d'Expressió i Comunicació,Patronatge I,Patronatge II,Patronatge III,Taller de Moda II,Taller de Moda I,Anàlisi i Teoria dels Teixits,Treball Final de Grau,Eines Informàtiques II","12,13",
AnyDesk,Privatiu,,"15,16,17","Patronatge I,Patronatge II,Patronatge III",,
Suite Adobe completa,Privatiu,,"6,9,12,13,14,26,19,27,28,29,30,31,32,33,34,40,41,43,44,47,50,51,53","Tècniques Infogràfiques I,Taller de Gràfic i Comunicació Visual II,Eines Informàtiques I,Eines Informàtiques I,Eines Informàtiques II,""Expressió Gràfica II - Moda, Expressió Gràfica II - AV"",Taller de Moda II,Creació i Autoria Digital I,Taller de Gràfic i Comunicació Visual II,Eines Informàtiques I,Taller de Moda II,Taller de Moda I,Anàlisi i Teoria dels Teixits,Tècniques Infogràfiques I,Tècniques Infogràfiques II,Treball Final de Grau,Construcció i Instal·lacions IV,Expressió Gràfica II - Moda,Patronatge IV,Eines Informàtiques II,Art Practices in Context Seminar I,Taller de Creativitat,Eines Informàtiques I","8,13","4,5"
Blender,Opensource,,,,,
Freecad,Opensource,,41,Construcció i Instal·lacions IV,,
Arduino,Opensource,,52,Creació i Autoria Digital III,,
Processing,Opensource,,"48,52","Animació Digital III,Creació i Autoria Digital III",,
Audacity,Opensource,,"26,50","""Expressió Gràfica II - Moda, Expressió Gràfica II - AV"",Art Practices in Context Seminar I",,
Sublime Text,Opensource,,25,Introducció al Disseny Web,,
Filezilla,Opensource,,25,Introducció al Disseny Web,,
Gimp,Opensource,,,,,
Cura3D,Opensource,,18,Manipulació i Estampació de Teixits,,
LibreOffice,Opensource,,11,Taller d'Expressió i Comunicació,13,
VLC,Opensource,,"11,48","Taller d'Expressió i Comunicació,Animació Digital III",13,
Shotcut,Opensource,,,,,
Inkscape,Opensource,,,,,
Hand brake,Opensource,,,,,
MediaInfo,Opensource,,,,,
Figma,Privatiu,,"40,41","Treball Final de Grau,Construcció i Instal·lacions IV",,
Glyphs,Privatiu,,"24,35","Tipografia II,Tipografia II",,
Rhino 7,Privatiu,,"6,18,29,33,34,46","Tècniques Infogràfiques I,Manipulació i Estampació de Teixits,Eines Informàtiques I,Tècniques Infogràfiques I,Tècniques Infogràfiques II,Iniciació als Projectes de Disseny I",,
Touch Designer,Privatiu,,"10,48","Animació Digital III,Animació Digital III",,
Cinema 4D,Privatiu,,"20,48","Animació Digital II,Animació Digital III",13,
Lumion,Privatiu,,6,Tècniques Infogràfiques I,,
3D MAX,Privatiu,,"6,33,34","Tècniques Infogràfiques I,Tècniques Infogràfiques I,Tècniques Infogràfiques II",,
Autocad,Privatiu,,"6,33,34,41,46","Tècniques Infogràfiques I,Tècniques Infogràfiques I,Tècniques Infogràfiques II,Construcció i Instal·lacions IV,Iniciació als Projectes de Disseny I",12,
VRAY,Privatiu,,"6,33,34","Tècniques Infogràfiques I,Tècniques Infogràfiques I,Tècniques Infogràfiques II",,
Enscape,Privatiu,,"5,41","Eines Informàtiques I,Construcció i Instal·lacions IV",,
5D Render,Privatiu,,"6,29,33,34,41","Tècniques Infogràfiques I,Eines Informàtiques I,Tècniques Infogràfiques I,Tècniques Infogràfiques II,Construcció i Instal·lacions IV",,
Clo 3D,Privatiu,,"18,19,30,31","Manipulació i Estampació de Teixits,Taller de Moda II,Taller de Moda II,Taller de Moda I",,
Gerber,Privatiu,,"15,16,17,21,22,37,38,43,44","Patronatge I,Patronatge II,Patronatge III,Patronatge IV,Expressió Gràfica I - Moda,Patronatge I,Patronatge II,Expressió Gràfica II - Moda,Patronatge IV",,
Resolume,Privatiu,,26,"""Expressió Gràfica II - Moda, Expressió Gràfica II - AV""",,5
Unreal,Privatiu,,"10,48","Animació Digital III,Animació Digital III",,
Corona Render,Privatiu,,,,,
