Name,Assignatures,Aules,Professorat,Software,Tecnologia Audiovisual del servei de prèstec,Altres,Treball a taller,Anys-Curs,Activitats planificades al taller,Materials Professor,Materials estudiants,Altres Consideracions,Anotacions
5,Eines Informàtiques I,P.1.12,,Enscape,,Necessitem també la instalació als portatils,,2024-25,,,,,
6,Tècniques Infogràfiques I,P.1.12,,"Autocad,VRAY,3D MAX,Rhino 7,5D Render,Lumion,Suite Adobe completa",,També instal·lacions als portatils.,,2024-25,,,,,
7,Taller de Dibuix Artístic,,,Teams,,"Aquests curs ha estat un encert el fet que els estudiants de primer,  hagin fet les capacitacions, doncs aixó els ha permés poder utilitzar els Tallers convenienment i ampliar molt el registre dels últims treballs de Color",,2024-25,,,,,
8,Eines Informàtiques I,,,,,En quant a material informàtic no caldrà solicitar res. Si será necessari instalar PrusaSlicer i AutoCAD a l'aula G02.,Taller Maker,2024-25,,,,,
9,Taller de Gràfic i Comunicació Visual II,P.1.7,,Suite Adobe completa,,"Necessitem fotocopiadora/impressora disponible a l'aula.
S'utilitzarà la màquina de Riso durant tres classes.",Taller de Producció Gràfica,2024-25,,,,,
10,Animació Digital III,P.1.12,,"Unreal,Touch Designer","- 7 Càmeres 1080p USB, Realsense o similar
- Plastelina","A l'aula 1.12

- Touchdesigner Educational license 
- Unreal 5.4 (actualitzar)
- Cinema 4D
- ¿Blender?","Ordinadors remots per a estudiants,Taller Interactiu",2024-25,,,,,
11,Taller d'Expressió i Comunicació,G.1.1,,"Teams,LibreOffice,VLC",,,,2024-25,,,,,
12,Eines Informàtiques I,,,Suite Adobe completa,,,"Platós de Video,Estudi de So",2024-25,,,,,
13,Eines Informàtiques I,,,Suite Adobe completa,,"Necessitem urgentment un repositori, tipus Dropbox, per recollir les entregues de treballs d'estudiants. La capacitat que dona OneDrive no és suficient, ni de lluny! Penso que ja esteu treballant, però s'ha de trobar una solució perquè adobe no demani contínuament actualitzacions. També tenim molts problemes per connectar-nos al campus a primera hora del divendres, quan més falta fa, ja que les estudiants han de baixar arxius per fer els exercicis. És un problema que es repeteix cada divendres, sobretot al matí, i podem arribar a perdre 20 o 30 minuts de classe. Merci!!",Taller de Producció Gràfica,2024-25,,,,,
14,Eines Informàtiques II,,,Suite Adobe completa,,"Necessitem urgentment un repositori, tipus Dropbox, per recollir les entregues de treballs d'estudiants. La capacitat que dona OneDrive no és suficient, ni de lluny! Penso que ja esteu treballant, però s'ha de trobar una solució perquè adobe no demani contínuament actualitzacions. També tenim molts problemes per connectar-nos al campus a primera hora del divendres, quan més falta fa, ja que les estudiants han de baixar arxius per fer els exercicis. És un problema que es repeteix cada divendres, sobretot al matí, i podem arribar a perdre 20 o 30 minuts de classe. Merci!!",Taller de Producció Gràfica,2024-25,,,,,
15,Patronatge I,Portatils (1),,"Gerber,AnyDesk,Teams",Aula de portàtils per treballar a classe. ,"Alta connectivitat via wifi. Aquest curs 2023/2024 ha sigut molt difícil poder treballar de forma fluida a causa d'una connexió wifi molt inestable.
Per altra part, revisar els portàtils, ja que molts cops els estudiants perden més de mitja hora intentant accedir al programa. Des d'intentar en reiniciar l'ordinador fins a haver de fer dos viatges a secretaria per intercanviar-lo amb un altre.","Taller de Moda,Ordinadors remots per a estudiants",2024-25,,,,,
16,Patronatge II,Portatils (1),,"AnyDesk,Gerber,Teams",Aula de portàtils per treballar a classe.,"Alta connectivitat via wifi. Aquest curs 2023/2024 ha sigut molt difícil poder treballar de forma fluida a causa d'una connexió wifi molt inestable.
Per altra part, revisar els portàtils, ja que molts cops els estudiants perden més de mitja hora intentant accedir al programa. Des d'intentar en reiniciar l'ordinador fins a haver de fer dos viatges a secretaria per intercanviar-lo amb un altre.",Taller de Moda,2024-25,,,,,
17,Patronatge III,Portatils (1),,"AnyDesk,Gerber,Teams","
Aula de portàtils per treballar a classe.
","Alta connectivitat via wifi. Aquest curs 2023/2024 ha sigut molt difícil poder treballar de forma fluida a causa d'una connexió wifi molt inestable.
Per altra part, revisar els portàtils, ja que molts cops els estudiants perden més de mitja hora intentant accedir al programa. Des d'intentar en reiniciar l'ordinador fins a haver de fer dos viatges a secretaria per intercanviar-lo amb un altre.",Taller de Moda,2024-25,,,,,
18,Manipulació i Estampació de Teixits,Portatils (1),,"Cura3D,Rhino 7,Clo 3D",,Necesitaremos: 2 primeros meses los telares y taller de tricotosas. Dos últimos meses taller maker (cortadora láser e impresora 3D) y taller de materiales en transición prepararé un calendario exacto para tener claras las necesidades. ,"Taller Maker,Taller de Tricotoses,Taller de Materials en transició",2024-25,,,,,
19,Taller de Moda II,Portatils (1),,"Suite Adobe completa,Clo 3D",,,,2024-25,,,,,
20,Animació Digital II,P.1.4,,Cinema 4D,,"La possibilitat de disposar la llicència completa, especialment als ordinadors de render. Pel que han comentat els alumnes, hi ha pocs ordinadors que disposen de la llicència completa i es troben amb certes limitacions a l'hora de treballar. Per altra banda, si fos possible, seria fantàstic disposar de l'extensió, pròpia de Cinema 4D, Redshift. Motor de render professional que permet treballar en profunditat qüestions professionals a l'aula. Moltes gràcies.",,2024-25,,,,,
21,Patronatge IV,Portatils (1),,Gerber,,"El wifi de l’aula ha dificultat molt el inici de cada classe. El programa no està configurat com es va demanar, el que també fa perdre molt de temps a l’aula.",,2024-25,,,,,
22,Expressió Gràfica I - Moda,Portatils (1),,Gerber,,"El wifi de l’aula ha dificultat molt el inici de cada classe. El programa no està configurat com es va demanar, el que també fa perdre molt de temps a l’aula.",,2024-25,,,,,
23,"""Expressió Gràfica II - Moda, Expressió Gràfica II - AV""",Portatils (1),,,,"El wifi de l’aula ha dificultat molt el inici de cada classe. El programa no està configurat com es va demanar, el que també fa perdre molt de temps a l’aula.",,2024-25,,,,,
24,Tipografia II,P.1.6,,Glyphs,Ordinadors amb Glyphs a partir de la tornada de Setmana Santa,,,2024-25,,,,,
25,Introducció al Disseny Web,P.1.4,,"Sublime Text,Filezilla",,"A més del Sublime Text i el Filezilla, estaria bé tenir el Visual Studio Code instal·lat",,2024-25,,,,,
